,course,Credits,Instructor,Department,course_name,description,vec_str
72,ACM 370,3,J Moffett,Academy for Creative Media (ACM),Directing the Actor on Screen ,"Introduction of the screen-director to the craft of acting for the camera. Students will develop communication skills and learn practical techniques to elicit spontaneous and relaxed performances with actors from the Theatre
program. ACM Majors only. A-F only. Pre: 310 or (215 and 216); and 350 (or concurrent).","Directing the Actor on Screen  Introduction of the screen-director to the craft of acting for the camera. Students will develop communication skills and learn practical techniques to elicit spontaneous and relaxed performances with actors from the Theatre
program. ACM Majors only. A-F only. Pre: 310 or (215 and 216); and 350 (or concurrent). Academy for Creative Media (ACM)"
76,ACM 372,3,C Wang,Academy for Creative Media (ACM),Editing for Cinema ,"Advanced course examining the theory, techniques, and practices of motion picture editing; use of non-linear digital editing systems; and practical experience in digital editing
projects. ACM majors only. A-F only. Pre: 310; or 215 and 216. DA","Editing for Cinema  Advanced course examining the theory, techniques, and practices of motion picture editing; use of non-linear digital editing systems; and practical experience in digital editing
projects. ACM majors only. A-F only. Pre: 310; or 215 and 216. DA Academy for Creative Media (ACM)"
80,ACM 374,3,F Titz,Academy for Creative Media (ACM),Post Production Sound ,"Practical course on the theory, art, and techniques of sound recording, editing, and design for cinema. Students work on
projects involving dialogue and sound effects in post production. ACM majors only. A-F only. Pre: 372 (or concurrent). DA","Post Production Sound  Practical course on the theory, art, and techniques of sound recording, editing, and design for cinema. Students work on
projects involving dialogue and sound effects in post production. ACM majors only. A-F only. Pre: 372 (or concurrent). DA Academy for Creative Media (ACM)"
84,ACM 380,3,V Hereniko,Academy for Creative Media (ACM),Genre and Narrative Theory in Creative Media ,"Focus on the concept of genre, genre films, genre film criticism and popular genres such as
Western, film noir, documentary, and Chinese martial arts. A-F only. Pre: 255 or consent.","Genre and Narrative Theory in Creative Media  Focus on the concept of genre, genre films, genre film criticism and popular genres such as
Western, film noir, documentary, and Chinese martial arts. A-F only. Pre: 255 or consent. Academy for Creative Media (ACM)"
88,ACM 382,3,M Moody,Academy for Creative Media (ACM),Authors in Creative Media ,"In-depth study of the auteur theory and specific application to authors in creative media, such as film directors, animators, screenwriters or game designers. A-F only. Pre: 255 or consent.","Authors in Creative Media  In-depth study of the auteur theory and specific application to authors in creative media, such as film directors, animators, screenwriters or game designers. A-F only. Pre: 255 or consent. Academy for Creative Media (ACM)"
92,ACM 385,3,C A Acham,Academy for Creative Media (ACM),Topics in Creative Media ,Topics of interest to faculty and students; taught by regular and visiting faculty. Repeatable one time on different topics. ACM majors only. A-F only. Pre: 255 or consent.,Topics in Creative Media  Topics of interest to faculty and students; taught by regular and visiting faculty. Repeatable one time on different topics. ACM majors only. A-F only. Pre: 255 or consent. Academy for Creative Media (ACM)
96,ACM 386,3,C Wang,Academy for Creative Media (ACM),Techniques in Creative Media ,"Specialized techniques in the creation of digital media: taught by regular and visiting faculty. Repeatable one time in different topics. ACM majors only. A-F only. Pre: 310, or 215 and 216.","Techniques in Creative Media  Specialized techniques in the creation of digital media: taught by regular and visiting faculty. Repeatable one time in different topics. ACM majors only. A-F only. Pre: 310, or 215 and 216. Academy for Creative Media (ACM)"
100,ACM 405,3,L Flanary,Academy for Creative Media (ACM),Documentary Production ,"Analysis and practical knowledge of the documentary process including, but not limited to, research, organization and story structure, shooting, camera coverage, and editing. ACM majors only. A-F only. Pre: 310, 350, and one of the following: 312, 330, 370, 372, or 374","Documentary Production  Analysis and practical knowledge of the documentary process including, but not limited to, research, organization and story structure, shooting, camera coverage, and editing. ACM majors only. A-F only. Pre: 310, 350, and one of the following: 312, 330, 370, 372, or 374 Academy for Creative Media (ACM)"
104,ACM 410,3,T Takemoto-Chock,Academy for Creative Media (ACM),Advanced Cinematic Production ,"Production of a major cinematic/digital narrative project. Working in groups, each student takes on creative and technical role and responsibilities of a principle crew position. Emphasis on artistic form in narrative development; timely execution from pre- to post-production. ACM majors only. A-F only. Pre: 310; 350; and one of 312, 330, 370, 372, or 374.","Advanced Cinematic Production  Production of a major cinematic/digital narrative project. Working in groups, each student takes on creative and technical role and responsibilities of a principle crew position. Emphasis on artistic form in narrative development; timely execution from pre- to post-production. ACM majors only. A-F only. Pre: 310; 350; and one of 312, 330, 370, 372, or 374. Academy for Creative Media (ACM)"
108,ACM 420,3,J Hahm,Academy for Creative Media (ACM),Animation Production II ,"Student teams produce a short, animated film. Prior knowledge of 2D and 3D media authoring tools and animation techniques is necessary. ACM majors only. A-F only. Pre: 320. DA","Animation Production II  Student teams produce a short, animated film. Prior knowledge of 2D and 3D media authoring tools and animation techniques is necessary. ACM majors only. A-F only. Pre: 320. DA Academy for Creative Media (ACM)"
112,ACM 450,3,J Moffett,Academy for Creative Media (ACM),Advanced Screenwriting ,"Application of narrative principles of character development, story structure, and thematic spine to to screenplays for
live action and animated short films, television, or transmedia projects. ACM majors only. A-F only. Pre: 350. DA","Advanced Screenwriting  Application of narrative principles of character development, story structure, and thematic spine to to screenplays for
live action and animated short films, television, or transmedia projects. ACM majors only. A-F only. Pre: 350. DA Academy for Creative Media (ACM)"
116,ACM 460,3,M Moody,Academy for Creative Media (ACM),Ethics and Film ,Ethical theory and dilemmas as reflected in film and filmmaking. Social responsibility for filmmakers. ACM majors only. A-F only. Pre: junior standing and 255.,Ethics and Film  Ethical theory and dilemmas as reflected in film and filmmaking. Social responsibility for filmmakers. ACM majors only. A-F only. Pre: junior standing and 255. Academy for Creative Media (ACM)
120,ACM 475,3,M Moody,Academy for Creative Media (ACM),Narrative Feature Screenplay ,Builds upon the beginning and advanced screenwriting classes. Students will acquire knowledge and technical skills through critiquing feature length screenplays. Students will write a feature length screenplay that reflects their unique voice. Repeatable one time. ACM majors only. Junior standing or higher. Pre: 350 and 450.,Narrative Feature Screenplay  Builds upon the beginning and advanced screenwriting classes. Students will acquire knowledge and technical skills through critiquing feature length screenplays. Students will write a feature length screenplay that reflects their unique voice. Repeatable one time. ACM majors only. Junior standing or higher. Pre: 350 and 450. Academy for Creative Media (ACM)
124,ACM 486,3,S E Schimmel,Academy for Creative Media (ACM),Capstone Creative Production ,"Emphasis on advanced production skills in creating a capstone project in live-action fiction film, animation, documentary, or new media. Screenwriting students may also develop a feature screenplay or television pilot and series bible. Repeatable one time. ACM majors only. Pre: 405 or 410 or 420 or 455 or 475. DA","Capstone Creative Production  Emphasis on advanced production skills in creating a capstone project in live-action fiction film, animation, documentary, or new media. Screenwriting students may also develop a feature screenplay or television pilot and series bible. Repeatable one time. ACM majors only. Pre: 405 or 410 or 420 or 455 or 475. DA Academy for Creative Media (ACM)"
128,ACM 487,3,R S Tabalba,Academy for Creative Media (ACM),Video Game Design and Development ,"Students will team design, build, and demonstrate video games or related interactive entertainment environments and applications. Topics will include emerging computer science techniques relevant to the development of these types of environments. Junior
standing or higher. Pre: any 215 or ICS 110(Alpha) or ICS 111. (Cross-listed as ICS 485)","Video Game Design and Development  Students will team design, build, and demonstrate video games or related interactive entertainment environments and applications. Topics will include emerging computer science techniques relevant to the development of these types of environments. Junior
standing or higher. Pre: any 215 or ICS 110(Alpha) or ICS 111. (Cross-listed as ICS 485) Academy for Creative Media (ACM)"
132,ACC 200,3,D C Yang,Accounting (ACC),Introduction to Accounting I ,Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part I. A-F only. Sophomore standing or higher.,Introduction to Accounting I  Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part I. A-F only. Sophomore standing or higher. Accounting (ACC)
138,ACC 200,3,K V Santaniello,Accounting (ACC),Introduction to Accounting I ,Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part I. A-F only. Sophomore standing or higher.,Introduction to Accounting I  Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part I. A-F only. Sophomore standing or higher. Accounting (ACC)
142,ACC 200,3,L Guan,Accounting (ACC),Introduction to Accounting I ,Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part I. A-F only. Sophomore standing or higher.,Introduction to Accounting I  Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part I. A-F only. Sophomore standing or higher. Accounting (ACC)
160,ACC 210,3,J N Teruya,Accounting (ACC),Introduction to Accounting II ,Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part II. Pre: 200 (with a C- or better).,Introduction to Accounting II  Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part II. Pre: 200 (with a C- or better). Accounting (ACC)
164,ACC 210,3,C M Kaiama,Accounting (ACC),Introduction to Accounting II ,Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part II. Pre: 200 (with a C- or better).,Introduction to Accounting II  Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part II. Pre: 200 (with a C- or better). Accounting (ACC)
166,ACC 210,3,B Jung,Accounting (ACC),Introduction to Accounting II ,Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part II. Pre: 200 (with a C- or better).,Introduction to Accounting II  Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part II. Pre: 200 (with a C- or better). Accounting (ACC)
168,ACC 210,3,Y Park,Accounting (ACC),Introduction to Accounting II ,Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part II. Pre: 200 (with a C- or better).,Introduction to Accounting II  Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part II. Pre: 200 (with a C- or better). Accounting (ACC)
174,ACC 210,3,J Jung,Accounting (ACC),Introduction to Accounting II ,Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part II. Pre: 200 (with a C- or better).,Introduction to Accounting II  Introduction to managerial and financial accounting and methods used to record and report managerial and financial information to decision makers internal and external to the firm. Part II. Pre: 200 (with a C- or better). Accounting (ACC)
196,ACC 321,3,S J Daniel,Accounting (ACC),Intermediate Financial Accounting I ,"Accounting process and the application of GAAP to the recognition and measurement of cash, receivables, inventories, property plant and equipment, depreciation and depletion, intangibles, and current liabilities. Pre: 200 and 210, or BUS 624 (with a minimum grade of C- or better).","Intermediate Financial Accounting I  Accounting process and the application of GAAP to the recognition and measurement of cash, receivables, inventories, property plant and equipment, depreciation and depletion, intangibles, and current liabilities. Pre: 200 and 210, or BUS 624 (with a minimum grade of C- or better). Accounting (ACC)"
204,ACC 323,3,M C Woollen,Accounting (ACC),Intermediate Financial Accounting II ,"Application of GAAP to the recognition and measurement of long-term liabilities, investments, contributed capital, retained earnings, accounting changes and errors, income recognition, accounting for income taxes, pensions, leases, and statement of cash flows. Pre: 321 with C- or better.","Intermediate Financial Accounting II  Application of GAAP to the recognition and measurement of long-term liabilities, investments, contributed capital, retained earnings, accounting changes and errors, income recognition, accounting for income taxes, pensions, leases, and statement of cash flows. Pre: 321 with C- or better. Accounting (ACC)"
212,ACC 395,1-3,R W Varley,Accounting (ACC),Accounting Internship ,On-the-job experience in the accounting community. Term paper and meetings with faculty advisor required. CR/NC only. Pre: consent.,Accounting Internship  On-the-job experience in the accounting community. Term paper and meetings with faculty advisor required. CR/NC only. Pre: consent. Accounting (ACC)
216,ACC 401,3,M C Woollen,Accounting (ACC),Federal Individual Income Taxation ,"Examines federal income tax concepts, such as gross income, exclusions, deductions, exemptions, and tax credits, especially for sole proprietors. Introduces taxation of property transactions. Development of professional writing skills is integral to this course. Pre: 200 and 210, or BUS 624 (with a minimum grade of
C- or better).","Federal Individual Income Taxation  Examines federal income tax concepts, such as gross income, exclusions, deductions, exemptions, and tax credits, especially for sole proprietors. Introduces taxation of property transactions. Development of professional writing skills is integral to this course. Pre: 200 and 210, or BUS 624 (with a minimum grade of
C- or better). Accounting (ACC)"
224,ACC 409,3,J Lim,Accounting (ACC),Accounting Information Systems ,"Accounting systems analysis, control and design in manual and computerized environments. Knowledge and skills of information technology for auditing AIS systems. Hands-on experience with microcomputers and a computerized accounting system. A-F only. Pre: 323 (with C- or better or concurrent) and BUS 311 (with C or better).","Accounting Information Systems  Accounting systems analysis, control and design in manual and computerized environments. Knowledge and skills of information technology for auditing AIS systems. Hands-on experience with microcomputers and a computerized accounting system. A-F only. Pre: 323 (with C- or better or concurrent) and BUS 311 (with C or better). Accounting (ACC)"
226,ACC 409,3,TBA,Accounting (ACC),Accounting Information Systems ,"Accounting systems analysis, control and design in manual and computerized environments. Knowledge and skills of information technology for auditing AIS systems. Hands-on experience with microcomputers and a computerized accounting system. A-F only. Pre: 323 (with C- or better or concurrent) and BUS 311 (with C or better).","Accounting Information Systems  Accounting systems analysis, control and design in manual and computerized environments. Knowledge and skills of information technology for auditing AIS systems. Hands-on experience with microcomputers and a computerized accounting system. A-F only. Pre: 323 (with C- or better or concurrent) and BUS 311 (with C or better). Accounting (ACC)"
232,ACC 413,3,T J Messinger,Accounting (ACC),Law for the Accountant ,"Intensive study of areas of law of importance to accountants. Particular attention is given to principles of law relating to contracts, sales, commercial paper, secured transactions, property, legal entities, agency, securities, and accountant’s legal liability. Pre: BLAW 200 or consent.","Law for the Accountant  Intensive study of areas of law of importance to accountants. Particular attention is given to principles of law relating to contracts, sales, commercial paper, secured transactions, property, legal entities, agency, securities, and accountant’s legal liability. Pre: BLAW 200 or consent. Accounting (ACC)"
236,ACC 418,3,G T Nishikawa,Accounting (ACC),Auditing ,"Auditing concepts including standards, objectives and ethics for external auditors. Emphasis on reporting standards, internal control, evidence, statistical sampling, IT audits and assurance. Development of professional writing skills is an integral part of this course. Pre: 323 and 409, both with C- or better.","Auditing  Auditing concepts including standards, objectives and ethics for external auditors. Emphasis on reporting standards, internal control, evidence, statistical sampling, IT audits and assurance. Development of professional writing skills is an integral part of this course. Pre: 323 and 409, both with C- or better. Accounting (ACC)"
238,ACC 418,3,J Zhou,Accounting (ACC),Auditing ,"Auditing concepts including standards, objectives and ethics for external auditors. Emphasis on reporting standards, internal control, evidence, statistical sampling, IT audits and assurance. Development of professional writing skills is an integral part of this course. Pre: 323 and 409, both with C- or better.","Auditing  Auditing concepts including standards, objectives and ethics for external auditors. Emphasis on reporting standards, internal control, evidence, statistical sampling, IT audits and assurance. Development of professional writing skills is an integral part of this course. Pre: 323 and 409, both with C- or better. Accounting (ACC)"
248,ACC 602,1,H Pourjalali,Accounting (ACC),CPA Review-Audit and Attestation ,"Auditing and Attestation (AUD) section covers the entire auditing process, including auditing procedures, generally accepted auditing standards, standards related to attest engagements, and the AICPA Code of Professional Conduct. CR/NC only. Pre: 418 (or concurrent).","CPA Review-Audit and Attestation  Auditing and Attestation (AUD) section covers the entire auditing process, including auditing procedures, generally accepted auditing standards, standards related to attest engagements, and the AICPA Code of Professional Conduct. CR/NC only. Pre: 418 (or concurrent). Accounting (ACC)"
252,ACC 603,1,H Pourjalali,Accounting (ACC),CPA Review-The Business Environment and Concepts ,The Business Environment and Concepts (BEC) section focuses on business concepts and the significance of a CPA’s professional duties and responsibilities within the larger context of the business environment. CR/NC only.,CPA Review-The Business Environment and Concepts  The Business Environment and Concepts (BEC) section focuses on business concepts and the significance of a CPA’s professional duties and responsibilities within the larger context of the business environment. CR/NC only. Accounting (ACC)
256,ACC 604,1,H Pourjalali,Accounting (ACC),CPA Review-The Financial Accounting and Reporting ,"The (FAR) section focuses on U.S. GAAP, including concepts and standards for financial statements, typical items in financial statements, specific types of transactions and events, accounting and reporting for governmental and other entities. CR/NC only. Pre: 323.","CPA Review-The Financial Accounting and Reporting  The (FAR) section focuses on U.S. GAAP, including concepts and standards for financial statements, typical items in financial statements, specific types of transactions and events, accounting and reporting for governmental and other entities. CR/NC only. Pre: 323. Accounting (ACC)"
260,ACC 605,1,H Pourjalali,Accounting (ACC),CPA Review-The Regulation ,"The Regulation section focuses on federal taxation, especially taxation of business entities; individuals, and property taxation, but also tests on business law, business ethics, and professional and legal responsibilities. Repeatable one time. CR/NC only. Co-requisite: 407.","CPA Review-The Regulation  The Regulation section focuses on federal taxation, especially taxation of business entities; individuals, and property taxation, but also tests on business law, business ethics, and professional and legal responsibilities. Repeatable one time. CR/NC only. Co-requisite: 407. Accounting (ACC)"
264,ACC 619,3,J Lim,Accounting (ACC),Information and Assurance and Analytics ,"Focus on auditing processes, standards, and guidance specific to IT risks. Exposure to advanced IT audit software and its practical application and real world IT audit issues. Pre: 418 or 585 with C- or better, or consent","Information and Assurance and Analytics  Focus on auditing processes, standards, and guidance specific to IT risks. Exposure to advanced IT audit software and its practical application and real world IT audit issues. Pre: 418 or 585 with C- or better, or consent Accounting (ACC)"
268,ACC 625,3,T C Pearson,Accounting (ACC),Accounting and Tax Research ,"In depth examination of tax and accounting research, IRC, and SEC procedures. Extensive practice in issue identification, reading and analyzing primary authority, and communicating results. Credit not given for both 606 and 625. Pre: 401 or 584 with C- or better, orientation program, or consent.","Accounting and Tax Research  In depth examination of tax and accounting research, IRC, and SEC procedures. Extensive practice in issue identification, reading and analyzing primary authority, and communicating results. Credit not given for both 606 and 625. Pre: 401 or 584 with C- or better, orientation program, or consent. Accounting (ACC)"
272,ACC 648,1,M J Mitsuyasu,Accounting (ACC),Financial Statements Analysis ,"Analyses of a firm’s profitability, liquidity, and solvency using ratios and common size financial statements. Students are expected to find strengths and weaknesses of the firm based on their analysis. A-F only. Pre: 323. Co-requisite: 660.","Financial Statements Analysis  Analyses of a firm’s profitability, liquidity, and solvency using ratios and common size financial statements. Students are expected to find strengths and weaknesses of the firm based on their analysis. A-F only. Pre: 323. Co-requisite: 660. Accounting (ACC)"
276,ACC 660,2,H Pourjalali,Accounting (ACC),Analysis and Decision-Making ,"Integrates learning through analysis and communication of comprehensive business problems. Stresses research, critical thinking, and analytical and communication skills applied to contemporary accounting and tax issues. Pre: 625 with C- or better (or concurrent), no waiver. Co-requisite: 648.","Analysis and Decision-Making  Integrates learning through analysis and communication of comprehensive business problems. Stresses research, critical thinking, and analytical and communication skills applied to contemporary accounting and tax issues. Pre: 625 with C- or better (or concurrent), no waiver. Co-requisite: 648. Accounting (ACC)"
280,ACC 695,1-3,R W Varley,Accounting (ACC),Accounting Internship ,On-the-job experience in the accounting community. Necessary evaluation reports and meetings with faculty advisor required. ACC majors only. Pre: consent.,Accounting Internship  On-the-job experience in the accounting community. Necessary evaluation reports and meetings with faculty advisor required. ACC majors only. Pre: consent. Accounting (ACC)
284,AS 102,1,S T Jacobson,Aerospace Studies (AS),Foundations of the United States Air Force ,Continuation of 101. A-F only,Foundations of the United States Air Force  Continuation of 101. A-F only Aerospace Studies (AS)
292,AS 102L,1,K N Alleman,Aerospace Studies (AS),Initial Military Training II ,"Laboratory consists of activities that focus and promote the Air Force way of life. Instruction will include leadership and followership development, teamwork, physical fitness training, and activities designed to build camaraderie and esprit de corps. Course is open to all majors. CR/NC only.","Initial Military Training II  Laboratory consists of activities that focus and promote the Air Force way of life. Instruction will include leadership and followership development, teamwork, physical fitness training, and activities designed to build camaraderie and esprit de corps. Course is open to all majors. CR/NC only. Aerospace Studies (AS)"
296,AS 202,2,K N Alleman,Aerospace Studies (AS),Evolution of USAF Air and Space Power ,Continuation of 201. A-F only.,Evolution of USAF Air and Space Power  Continuation of 201. A-F only. Aerospace Studies (AS)
300,AS 202L,1,K N Alleman,Aerospace Studies (AS),Field Training Preparation II ,Continuation of 201L. CR/NC only. Pre: consent.,Field Training Preparation II  Continuation of 201L. CR/NC only. Pre: consent. Aerospace Studies (AS)
304,AS 251L,1,K N Alleman,Aerospace Studies (AS),Leadership Laboratory ,"Laboratory on the basic skills of leadership and followership. Lab includes application of leadership/followership skills, various field trips to military installations, group projects, and physical training. Repeatable one time. CR/NC only. Co-requisite: 101 and 201; or consent. (Fall only)","Leadership Laboratory  Laboratory on the basic skills of leadership and followership. Lab includes application of leadership/followership skills, various field trips to military installations, group projects, and physical training. Repeatable one time. CR/NC only. Co-requisite: 101 and 201; or consent. (Fall only) Aerospace Studies (AS)"
